input_1	[(None, 150, 150, 3)]
conv2d_50	(None, 7, 7, 192)
conv2d_53	(None, 7, 7, 192)
conv2d_58	(None, 7, 7, 192)
conv2d_59	(None, 7, 7, 192)
batch_normalization_50	(None, 7, 7, 192)
batch_normalization_53	(None, 7, 7, 192)
batch_normalization_58	(None, 7, 7, 192)
batch_normalization_59	(None, 7, 7, 192)
activation_50	(None, 7, 7, 192)
activation_53	(None, 7, 7, 192)
activation_58	(None, 7, 7, 192)
activation_59	(None, 7, 7, 192)
mixed6	(None, 7, 7, 768)
conv2d_64	(None, 7, 7, 192)
batch_normalization_64	(None, 7, 7, 192)
activation_64	(None, 7, 7, 192)
conv2d_65	(None, 7, 7, 192)
batch_normalization_65	(None, 7, 7, 192)
activation_65	(None, 7, 7, 192)
conv2d_61	(None, 7, 7, 192)
conv2d_66	(None, 7, 7, 192)
batch_normalization_61	(None, 7, 7, 192)
batch_normalization_66	(None, 7, 7, 192)
activation_61	(None, 7, 7, 192)
activation_66	(None, 7, 7, 192)
conv2d_62	(None, 7, 7, 192)
conv2d_67	(None, 7, 7, 192)
batch_normalization_62	(None, 7, 7, 192)
batch_normalization_67	(None, 7, 7, 192)
activation_62	(None, 7, 7, 192)
activation_67	(None, 7, 7, 192)
average_pooling2d_6	(None, 7, 7, 768)
conv2d_60	(None, 7, 7, 192)
conv2d_63	(None, 7, 7, 192)
conv2d_68	(None, 7, 7, 192)
conv2d_69	(None, 7, 7, 192)
batch_normalization_60	(None, 7, 7, 192)
batch_normalization_63	(None, 7, 7, 192)
batch_normalization_68	(None, 7, 7, 192)
batch_normalization_69	(None, 7, 7, 192)
activation_60	(None, 7, 7, 192)
activation_63	(None, 7, 7, 192)
activation_68	(None, 7, 7, 192)
activation_69	(None, 7, 7, 192)
mixed7	(None, 7, 7, 768)
conv2d_72	(None, 7, 7, 192)
batch_normalization_72	(None, 7, 7, 192)
activation_72	(None, 7, 7, 192)
conv2d_73	(None, 7, 7, 192)
batch_normalization_73	(None, 7, 7, 192)
activation_73	(None, 7, 7, 192)
conv2d_70	(None, 7, 7, 192)
conv2d_74	(None, 7, 7, 192)
batch_normalization_70	(None, 7, 7, 192)
batch_normalization_74	(None, 7, 7, 192)
activation_70	(None, 7, 7, 192)
activation_74	(None, 7, 7, 192)
conv2d_71	(None, 3, 3, 320)
conv2d_75	(None, 3, 3, 192)
batch_normalization_71	(None, 3, 3, 320)
batch_normalization_75	(None, 3, 3, 192)
activation_71	(None, 3, 3, 320)
activation_75	(None, 3, 3, 192)
max_pooling2d_3	(None, 3, 3, 768)
mixed8	(None, 3, 3, 1280)
conv2d_80	(None, 3, 3, 448)
batch_normalization_80	(None, 3, 3, 448)
activation_80	(None, 3, 3, 448)
conv2d_77	(None, 3, 3, 384)
conv2d_81	(None, 3, 3, 384)
batch_normalization_77	(None, 3, 3, 384)
batch_normalization_81	(None, 3, 3, 384)
activation_77	(None, 3, 3, 384)
activation_81	(None, 3, 3, 384)
conv2d_78	(None, 3, 3, 384)
conv2d_79	(None, 3, 3, 384)
conv2d_82	(None, 3, 3, 384)
conv2d_83	(None, 3, 3, 384)
average_pooling2d_7	(None, 3, 3, 1280)
conv2d_76	(None, 3, 3, 320)
batch_normalization_78	(None, 3, 3, 384)
batch_normalization_79	(None, 3, 3, 384)
batch_normalization_82	(None, 3, 3, 384)
batch_normalization_83	(None, 3, 3, 384)
conv2d_84	(None, 3, 3, 192)
batch_normalization_76	(None, 3, 3, 320)
activation_78	(None, 3, 3, 384)
activation_79	(None, 3, 3, 384)
activation_82	(None, 3, 3, 384)
activation_83	(None, 3, 3, 384)
batch_normalization_84	(None, 3, 3, 192)
activation_76	(None, 3, 3, 320)
mixed9_0	(None, 3, 3, 768)
concatenate	(None, 3, 3, 768)
activation_84	(None, 3, 3, 192)
mixed9	(None, 3, 3, 2048)
conv2d_89	(None, 3, 3, 448)
batch_normalization_89	(None, 3, 3, 448)
activation_89	(None, 3, 3, 448)
conv2d_86	(None, 3, 3, 384)
conv2d_90	(None, 3, 3, 384)
batch_normalization_86	(None, 3, 3, 384)
batch_normalization_90	(None, 3, 3, 384)
activation_86	(None, 3, 3, 384)
activation_90	(None, 3, 3, 384)
conv2d_87	(None, 3, 3, 384)
conv2d_88	(None, 3, 3, 384)
conv2d_91	(None, 3, 3, 384)
conv2d_92	(None, 3, 3, 384)
average_pooling2d_8	(None, 3, 3, 2048)
conv2d_85	(None, 3, 3, 320)
batch_normalization_87	(None, 3, 3, 384)
batch_normalization_88	(None, 3, 3, 384)
batch_normalization_91	(None, 3, 3, 384)
batch_normalization_92	(None, 3, 3, 384)
conv2d_93	(None, 3, 3, 192)
batch_normalization_85	(None, 3, 3, 320)
activation_87	(None, 3, 3, 384)
activation_88	(None, 3, 3, 384)
activation_91	(None, 3, 3, 384)
activation_92	(None, 3, 3, 384)
batch_normalization_93	(None, 3, 3, 192)
activation_85	(None, 3, 3, 320)
mixed9_1	(None, 3, 3, 768)
concatenate_1	(None, 3, 3, 768)
activation_93	(None, 3, 3, 192)
mixed10	(None, 3, 3, 2048)
